1.00,0.96,25
1.00,0.85,27
0.90,0.83,46
1.00,0.87,39
0.94,0.84,55
1.00,0.95,38
0.89,0.89,35
1.00,0.96,23
1.00,0.90,40
1.00,0.84,44
1.00,1.00,24
0.91,0.85,34
0.97,0.92,38
1.00,0.91,46
0.97,0.89,44
0.97,0.94,31
1.00,0.91,45
0.92,0.76,45
1.00,0.90,39
1.00,0.91,23
1.00,0.96,23
0.96,0.87,31
0.97,0.85,39
1.00,1.00,28
0.98,0.88,48
0.95,0.83,46
0.97,0.86,36
1.00,0.90,21
0.96,0.96,23
1.00,0.89,44
0.88,0.77,57
0.98,0.87,46
0.98,0.83,58
0.96,0.93,28
1.00,0.91,22
0.97,0.90,41
1.00,0.91,23
1.00,1.00,20
0.94,0.83,41
0.97,0.86,37
0.97,0.85,46
0.95,0.93,43
0.95,0.78,27
0.92,0.86,28
0.97,0.86,43
1.00,0.84,25
0.97,0.86,35
0.96,0.89,28
0.94,0.80,40
0.97,0.94,36
1.00,0.85,54
1.00,0.87,23
0.95,0.91,23
0.96,0.90,58
0.95,0.82,22
0.98,0.88,59
1.00,0.87,31
1.00,0.86,51
0.91,0.69,45
0.92,0.65,51
0.94,0.75,59
1.00,0.95,40
0.96,0.81,31
0.94,0.83,35
1.00,0.96,45
0.93,0.78,36
0.97,0.84,45
0.97,0.90,42
1.00,1.00,33
1.00,0.86,35
0.87,0.80,25
0.91,0.86,57
1.00,0.85,34
0.93,0.85,47
0.94,0.94,36
0.96,0.96,27
1.00,0.94,34
0.94,0.85,20
1.00,0.95,21
0.97,0.84,45
1.00,0.96,26
0.92,0.84,56
0.95,0.71,56
0.94,0.97,34
0.92,0.69,51
0.93,0.89,44
0.96,0.90,29
0.90,0.77,48
0.96,0.83,29
1.00,0.88,26
0.91,0.78,40
1.00,0.92,26
0.94,0.84,57
1.00,0.86,28
1.00,0.94,32
1.00,0.86,22
0.93,0.89,44
1.00,0.86,28
0.94,0.83,41
1.00,0.81,43
1.00,0.93,44
1.00,0.86,49
0.91,0.91,23
0.95,1.00,20
0.96,0.90,49
0.91,0.76,54
0.98,0.88,50
0.91,0.73,44
1.00,0.88,34
1.00,0.82,38
1.00,0.95,22
0.98,0.84,55
0.92,0.78,45
1.00,1.00,21
1.00,1.00,20
0.97,0.90,40
1.00,0.95,21
1.00,0.94,35
0.95,0.81,48
1.00,0.93,29
0.97,0.91,32
1.00,0.93,40
1.00,0.87,30
0.98,0.89,47
0.97,0.90,39
1.00,0.91,55
0.95,0.89,45
1.00,0.88,24
0.95,0.86,42
1.00,1.00,27
0.98,0.86,50
1.00,0.87,38
0.88,0.76,46
0.93,0.82,50
0.98,0.84,51
0.97,0.89,44
0.89,0.71,59
0.98,0.78,55
0.95,0.87,23
1.00,0.91,32
0.97,0.87,38
1.00,0.84,43
0.95,0.77,48
0.96,0.89,28
0.97,0.76,38
0.94,0.85,39
1.00,0.85,20
0.97,0.93,42
0.86,0.75,32
0.96,0.96,24
0.92,0.83,53
0.92,0.78,59
0.98,0.77,56
1.00,0.84,25
1.00,0.90,50
0.95,0.81,43
0.94,0.83,59
1.00,0.86,21
0.96,0.96,27
0.96,0.92,25
1.00,0.87,30
0.93,0.83,47
1.00,0.89,36
1.00,0.91,44
0.93,0.76,50
1.00,1.00,20
0.93,0.81,32
0.95,0.86,22
0.97,0.90,41
1.00,0.88,25
0.94,0.92,36
1.00,0.94,32
0.91,0.82,51
1.00,0.92,36
0.96,0.90,29
0.93,0.79,53
0.96,1.00,26
0.96,0.87,30
0.97,0.80,35
0.98,0.88,50
1.00,0.89,35
0.93,0.76,55
1.00,0.92,39
1.00,0.89,44
1.00,0.84,37
0.95,0.95,40
1.00,0.92,37
1.00,0.91,22
0.83,0.73,52
1.00,0.88,25
1.00,0.96,25
1.00,0.78,55
1.00,0.89,45
1.00,0.96,23
0.90,0.90,20
0.97,0.80,45
1.00,0.87,30
1.00,0.90,41
1.00,0.85,39
0.91,0.80,25
0.97,0.92,38
0.89,0.76,42
0.97,0.97,34
1.00,0.86,35
0.97,0.87,38
0.95,0.84,49
1.00,0.76,21
0.93,0.78,55
0.97,0.87,45
1.00,0.84,31
0.96,0.85,52
1.00,0.92,26
0.90,0.79,48
0.97,0.90,31
1.00,0.88,32
0.96,0.81,59
0.94,0.91,34
1.00,0.95,44
0.95,0.71,55
0.90,0.83,23
1.00,1.00,28
1.00,0.91,22
0.98,0.75,56
0.97,0.91,34
1.00,1.00,21
0.93,0.91,44
0.96,0.76,34
0.95,0.80,50
0.89,0.86,49
1.00,0.92,24
1.00,0.93,29
0.86,0.67,55
1.00,0.86,29
0.98,0.92,52
1.00,0.86,42
0.97,0.85,39
1.00,0.88,33
1.00,0.91,35
0.95,1.00,20
0.93,0.82,50
1.00,0.80,20
0.93,0.84,44
0.95,0.80,49
0.96,0.85,59
1.00,0.97,30
0.94,0.91,35
1.00,0.83,48
0.89,0.83,41
0.98,0.85,54
1.00,0.83,46
1.00,0.90,31
0.98,0.81,59
0.91,0.76,55
0.97,0.94,31
0.95,0.85,46
1.00,0.87,30
0.95,0.76,51
1.00,0.96,27
1.00,0.87,30
1.00,0.81,27
0.96,0.86,28
0.98,0.77,53
0.94,0.80,40
0.96,0.96,25
0.88,0.82,44
1.00,0.86,28
0.93,0.87,31
0.96,0.83,30
0.94,0.91,34
1.00,0.95,22
0.96,0.89,28
0.96,0.86,28
1.00,0.90,30
1.00,1.00,22
0.94,0.82,55
1.00,0.96,28
0.88,0.75,20
0.93,0.81,48
1.00,0.84,56
0.98,0.82,50
0.97,0.88,41
0.94,0.83,54
0.96,0.96,25
0.96,0.90,49
1.00,0.97,30
0.97,0.91,33
0.97,0.80,35
0.91,0.78,54
0.97,0.89,35
0.97,0.81,37
0.94,0.83,53
0.96,0.92,48
0.97,0.85,39
1.00,0.92,24
0.97,0.81,37
0.97,0.82,34
0.98,0.87,47
0.92,0.88,41
0.97,0.85,33
0.98,0.88,48
0.96,0.92,26
1.00,0.90,29
0.93,0.87,45
1.00,0.93,29
0.92,0.82,56
1.00,0.95,37
0.94,0.86,56
0.88,0.75,51
0.94,0.91,33
0.93,0.75,56
0.96,0.81,59
0.93,0.90,31
0.92,0.90,40
0.90,0.90,21
1.00,0.90,39
0.91,0.74,54
1.00,0.95,39
0.97,0.76,38
0.96,0.77,31
0.92,0.81,42
0.96,0.96,24
1.00,0.70,37
1.00,0.91,23
0.95,0.84,50
1.00,0.96,48
1.00,0.87,38
1.00,1.00,22
1.00,0.82,56
0.93,0.84,45
1.00,0.96,28
1.00,0.91,22
1.00,0.90,39
0.96,0.96,26
1.00,0.86,22
0.87,0.73,55
1.00,0.86,44
1.00,0.90,42
0.98,0.88,56
0.93,0.86,44
0.90,0.73,48
0.95,0.84,44
0.87,0.91,22
0.90,0.81,54
0.89,0.81,31
0.96,0.73,30
0.98,0.84,58
0.94,0.81,54
0.97,0.95,37
0.96,0.84,32
1.00,0.80,45
0.96,0.89,27
1.00,0.85,27
0.93,0.74,50
0.92,0.85,40
1.00,0.84,38
0.90,0.79,58
1.00,0.96,23
1.00,0.93,30
0.97,0.91,34
0.96,0.88,56
1.00,0.86,29
0.97,0.81,36
0.95,0.76,55
0.96,0.86,50
0.92,0.90,52
1.00,0.89,28
1.00,0.85,39
0.96,0.80,59
1.00,0.86,49
0.94,0.92,36
0.94,0.84,38
1.00,0.88,34
0.88,1.00,21
0.93,0.78,54
0.87,0.80,25
1.00,0.80,30
1.00,0.90,39
0.96,0.88,49
1.00,0.95,22
0.98,0.82,57
0.93,0.88,42
0.91,0.74,53
1.00,0.81,21
1.00,0.91,44
0.92,0.82,57
0.93,0.85,33
1.00,0.96,26
1.00,0.93,28
1.00,0.85,48
0.97,0.67,58
0.94,0.78,58
1.00,0.96,25
0.96,0.87,30
1.00,0.90,20
0.91,0.71,55
1.00,0.87,52
0.94,0.77,39
0.97,0.97,31
0.97,0.85,41
0.97,0.88,34
0.98,0.89,57
1.00,0.89,36
1.00,0.86,36
0.88,0.81,53
0.95,0.80,50
1.00,0.91,23
0.97,0.82,45
0.93,0.78,36
0.94,0.85,34
0.95,0.80,45
0.97,0.94,36
1.00,0.95,40
0.96,0.92,24
0.98,0.83,52
0.92,0.79,29
0.97,0.87,38
0.95,0.88,42
0.96,0.79,56
0.95,0.75,53
0.93,0.82,34
1.00,0.95,20
1.00,0.94,31
1.00,0.91,34
0.96,0.84,57
0.97,0.86,43
1.00,0.83,52
0.96,0.89,28
1.00,0.83,53
1.00,0.84,25
0.97,0.81,36
0.98,0.84,56
1.00,0.96,27
0.90,0.90,21
1.00,0.85,20
1.00,1.00,30
0.96,0.76,58
0.97,0.91,34
1.00,0.79,47
0.98,0.83,52
0.81,0.75,28
0.92,0.77,43
0.98,0.90,59
1.00,0.92,39
0.93,0.87,47
0.97,0.87,45
1.00,1.00,32
0.97,0.84,43
0.86,0.73,49
0.94,0.83,58
0.97,0.84,43
0.90,0.88,43
0.94,0.86,35
0.96,0.83,52
0.93,0.81,48
1.00,0.85,27
0.97,0.81,48
0.92,0.72,46
1.00,0.92,25
0.97,0.75,51
1.00,0.83,23
0.93,0.76,50
0.96,0.85,26
0.95,0.80,45
1.00,0.78,40
1.00,1.00,21
0.95,0.79,47
0.94,0.75,59
0.95,0.70,50
0.92,0.77,57
0.97,0.92,38
0.96,0.80,55
0.95,0.80,49
1.00,0.93,44
0.93,0.82,51
0.95,0.87,23
0.94,0.80,41
0.96,0.96,23
1.00,1.00,26
0.95,0.85,46
0.96,0.92,26
0.97,0.89,36
0.97,0.82,44
1.00,0.88,24
0.94,0.88,57
1.00,0.86,21
0.95,1.00,21
1.00,0.96,26
1.00,0.91,34
0.98,0.74,58
0.98,0.84,56
1.00,0.90,21
1.00,0.96,27
1.00,0.85,27
1.00,0.88,24
0.98,0.85,53
1.00,0.88,24
0.90,0.74,38
1.00,0.88,32
0.97,0.85,33
0.97,1.00,29
